epoch,train loss,val loss,swa
0.0,0.11299403510950955,0.11637987676613286,n
1.0,0.060896199947820515,0.07069103820399397,y
3.0,0.05601962255022826,0.06783253094228774,y
5.0,0.04876531332280641,0.06216465460625872,y
7.0,0.0477155991025601,0.06355408958206743,y
9.0,0.04610118832013258,0.0632771734838074,y
11.0,0.04315127196171775,0.05999919546318193,y
13.0,0.041250989665596656,0.059199872664097,y
15.0,0.040789947247865055,0.05822480510288881,y
17.0,0.039975008514964196,0.05864441376881895,y
19.0,0.042561802451803264,0.06135991437013372,y
21.0,0.039047701667992596,0.0594101725529753,y
23.0,0.03719554518663805,0.05775696371808269,y
25.0,0.03704544228919358,0.05809582887043766,y
27.0,0.03964638779349653,0.059638132594873085,y
29.0,0.034300997066291014,0.056435559695286644,y
31.0,0.035901785879356975,0.05732330891461569,y
33.0,0.0344687799254742,0.05724033589727419,y
35.0,0.03713809239096226,0.05872596844951859,y
37.0,0.03430012769938341,0.056787618103010924,y
39.0,0.03279293820859376,0.05620946954549053,y
41.0,0.032891286274517886,0.05716820612249864,y
43.0,0.031894404819488444,0.05631800474993632,y
45.0,0.03362161760948339,0.05761870532959573,y
47.0,0.032570746354024106,0.056218704114810135,y
49.0,0.03215428118501228,0.05637108575797371,y
51.0,0.031363681633356844,0.05633760919849688,y
53.0,0.03129853485004429,0.056443591592202,y
55.0,0.030062076882287986,0.055497807118946973,y
57.0,0.030916290246148583,0.05543669553710369,y
59.0,0.031745124025513265,0.057119415910930324,y
61.0,0.030509233462023992,0.05539931533787147,y
63.0,0.029831133527925876,0.05488522088178828,y
65.0,0.028441308396556033,0.05427224065532308,y
67.0,0.028749961465825525,0.05476614951890088,y
69.0,0.030300346844939673,0.05518367439240091,y
71.0,0.027874900943616655,0.053867776514962315,y
73.0,0.029040412539621994,0.05519339830235783,y
75.0,0.02985692797845589,0.056070063660016,y
77.0,0.02949861301187541,0.05550889248423026,y
79.0,0.02740958794426911,0.05406908465438854,y
81.0,0.026943116590156743,0.05339671336161762,y
83.0,0.0259680990200312,0.052687378629126536,y
85.0,0.027781973860999447,0.05336855130925206,y
87.0,0.03155649278409129,0.05692732893388276,y
89.0,0.02717767994567783,0.05364860972129124,y
91.0,0.025302763259730854,0.053116605209770726,y
93.0,0.025343066676780608,0.05358638173277032,y
95.0,0.02749616545951518,0.054398520454938,y
97.0,0.026217416385465313,0.05362884731473938,y
99.0,0.026669824850805702,0.05480756069154684,y
101.0,0.026846469977143943,0.05411037945093871,y
103.0,0.02435317433642379,0.052379327911915165,y
105.0,0.027396574310727624,0.05399147956474226,y
107.0,0.025279310933508558,0.05303672235364378,y
109.0,0.024029199741451557,0.05362317287994517,y
111.0,0.02538160930458966,0.054212900886975106,y
113.0,0.025887359905448645,0.053636765214377796,y
115.0,0.024897672814812307,0.05411459428187207,y
117.0,0.02494572824156065,0.05363313016292276,y
119.0,0.025521326871715887,0.05495529209579325,y
121.0,0.024247313723221014,0.05226552582685283,y
123.0,0.023212930531552455,0.052380738596479265,y
125.0,0.02418353291917912,0.05380147211869263,y
127.0,0.024356325550846603,0.05210418348169049,y
129.0,0.02356572255329698,0.05234905623736144,y
131.0,0.025961843045903366,0.05442745284011619,y
133.0,0.023955040572663962,0.05229498223022763,y
135.0,0.025311295793484193,0.05342026702159921,y
137.0,0.024662629014194717,0.05349746233917836,y
139.0,0.02358896126185705,0.052059899105974555,y
141.0,0.023533738650469926,0.05277149364936276,y
143.0,0.023422772639830402,0.052601440855365056,y
145.0,0.022691696125601603,0.051934727271071686,y
147.0,0.024555179861721448,0.05243210766559182,y
149.0,0.023441288703524025,0.05230729131406899,y
151.0,0.023461386259290177,0.05281211091978949,y
153.0,0.024045375958866768,0.05271890228945699,y
155.0,0.02208569323141292,0.05178580817869091,y
157.0,0.022363564564651058,0.052112640241492474,y
159.0,0.022407371365824463,0.052549437218014215,y
161.0,0.0226819626996365,0.05290783740690578,y
163.0,0.02280668572746918,0.052201055941108805,y
165.0,0.02130291067702908,0.051176134980425746,y
167.0,0.02210876008918652,0.05217520694343089,y
169.0,0.02278314885953943,0.05256531015148986,y
171.0,0.02219910833216282,0.05294846213738418,y
173.0,0.022743724468799045,0.053410022085595685,y
175.0,0.023168902319230092,0.053158927553065,y
177.0,0.021863621900606065,0.05244753202447131,y
179.0,0.02277221234037635,0.052967727251698155,y
181.0,0.02269956864240958,0.05352240036952041,y
183.0,0.022340318854634666,0.053201669643838274,y
185.0,0.021811236859055748,0.052971734337792814,y
187.0,0.020533170099606757,0.05254254476435609,y
189.0,0.020845091634248702,0.052233311425168384,y
191.0,0.02160853949417114,0.052678855996799924,y
193.0,0.020444854768031245,0.05320764481500422,y
195.0,0.022534426969814916,0.054204482875164536,y
197.0,0.021417645344891798,0.052029663570683005,y
199.0,0.020806175603680303,0.052817166733192436,y
201.0,0.021090512916933386,0.05252066735588645,y
203.0,0.020812557056961487,0.05271177390984938,y
205.0,0.021757283965946655,0.05238198861132486,y
207.0,0.021092150148329842,0.0524833591012442,y
209.0,0.02174943464939746,0.05306530910544097,y
211.0,0.02053275434286875,0.052462890576097675,y
213.0,0.02266892773091455,0.05330076556100305,y
215.0,0.022465347688722225,0.05291647950779268,y
217.0,0.02048556728442022,0.05181603935555065,y
219.0,0.019536227270989925,0.05251020539307304,y
221.0,0.020482776848038554,0.05189216982628519,y
223.0,0.02345238049868848,0.05447862143296812,y
225.0,0.020225670410947867,0.05290405019312718,y
227.0,0.0201233488473594,0.05192881275086774,y
229.0,0.02031286853407176,0.05223932493572771,y
231.0,0.019815422778886094,0.05246720657399777,y
233.0,0.020345324587164808,0.052874170777435274,y
235.0,0.02048313346688641,0.052722255038334276,y
237.0,0.020987988114563715,0.052467899202621716,y
239.0,0.021209492541508168,0.053544582451014955,y
241.0,0.020402773523447663,0.05391786829063321,y
243.0,0.021228609331294824,0.05304654490036922,y
245.0,0.021067319090946352,0.05272941240369958,y
247.0,0.019948523345836064,0.05236553532552858,y
249.0,0.019021006938349436,0.052828367315390604,y
251.0,0.0203628771538204,0.05270710523658574,y
253.0,0.019421121783789096,0.05217604954064019,y
255.0,0.020328398352511566,0.05214035093302886,y
257.0,0.020621759025330526,0.05251230361753033,y
259.0,0.021273058362985455,0.052298513175998575,y
261.0,0.020979099321938373,0.053645963244045435,y
263.0,0.01901991393503274,0.05208249465262486,y
265.0,0.021138412950475974,0.0540793908102501,y
267.0,0.019000886543086667,0.05251774679411644,y
269.0,0.020859431873936532,0.05368498432536815,y
271.0,0.01939983900890311,0.05211893324116718,y
273.0,0.01846186118388373,0.05255262117130461,y
275.0,0.020645280462806167,0.05322693154334201,y
277.0,0.018316844081094585,0.05165395822999525,y
279.0,0.020415530864014198,0.05271714083084805,y
281.0,0.019712491861226103,0.0521889025780325,y
283.0,0.018746130443634497,0.052098080027864264,y
285.0,0.0205013598126895,0.05226571450601884,y
287.0,0.020396038548368627,0.0528193349671408,y
289.0,0.01939260521335057,0.05245393873894808,y
291.0,0.018787518875935893,0.05208287022297539,y
293.0,0.02075666926365248,0.05192647079589887,y
295.0,0.020022176529139256,0.05211961019460617,y
297.0,0.019032958797790888,0.05256149374224814,y
299.0,0.019781421062382867,0.05219021299625037,y
