epoch,train loss,val loss,swa
0.0,0.7783038428528031,0.7662445639736476,n
1.0,0.7626867681911086,0.7517476054968443,y
3.0,0.7551801054642275,0.7437347232040866,y
5.0,0.7496536757695124,0.7390686115478743,y
7.0,0.7468991017857559,0.7366943329966503,y
9.0,0.7455092498063975,0.7354944736365333,y
11.0,0.7470978182615376,0.737153641706335,y
13.0,0.7471051412224183,0.736820753099528,y
15.0,0.7477820514943369,0.7373547985597657,y
17.0,0.7467969497229864,0.7366966486333535,y
19.0,0.7473767858107486,0.7375594191979501,y
21.0,0.7505584322292327,0.7406660921914267,y
23.0,0.7486505871345862,0.738609450051547,y
25.0,0.7482849911969159,0.7384343813194418,y
27.0,0.7453807114699026,0.7356858819555,y
29.0,0.7455332933303319,0.735857355855053,y
31.0,0.7463242841936454,0.7366860192070519,y
33.0,0.7471959055269096,0.7378152533382691,y
35.0,0.7467043617671895,0.7372794259482859,y
37.0,0.7443122712273338,0.735049279745056,y
39.0,0.7467440669699092,0.7376736937586434,y
41.0,0.7469655981959876,0.7383100103369612,y
43.0,0.7465933123566307,0.738121545320454,y
45.0,0.746626674312741,0.7381871116753729,y
47.0,0.7467111541811634,0.7386783933224137,y
49.0,0.7441402967808088,0.7360445180736204,y
51.0,0.7469713858455036,0.7387460290561908,y
53.0,0.7463928068100206,0.7386131449120072,y
55.0,0.7449990256387751,0.7371613937193466,y
57.0,0.7445167088175287,0.7364629286779097,y
59.0,0.7450236210567589,0.7367949771533149,y
61.0,0.7465786492237289,0.7385335111584782,y
63.0,0.7453295243820655,0.7371538333796623,y
65.0,0.7451853552036285,0.7369755742162231,y
67.0,0.7472227780837816,0.7393222222494982,y
69.0,0.7461025075529616,0.7379740313267281,y
71.0,0.7471600578645705,0.7393303234235968,y
73.0,0.7449139626731103,0.737089537838104,y
75.0,0.7465025649375202,0.7385859844128349,y
77.0,0.7457720416822521,0.7379693851240628,y
79.0,0.7447463508036676,0.7368816308335798,y
81.0,0.7461851483407287,0.7385720043887896,y
83.0,0.7446422424065516,0.736836343816405,y
85.0,0.7459899753532732,0.738353991203201,y
87.0,0.7454974971765221,0.737537160300415,y
89.0,0.7467575223515974,0.7391222593527789,y
91.0,0.7468830476415556,0.7392076444675014,y
93.0,0.7469444230958866,0.7391065789385917,y
95.0,0.7465960094943871,0.7385749495456992,y
97.0,0.7465955832488438,0.7382059944717941,y
99.0,0.7470367796967804,0.7393769985434104,y
101.0,0.7461161790922939,0.7382516492413853,y
103.0,0.7442100655391177,0.7366515207242404,y
105.0,0.745963902769416,0.7386427699283719,y
107.0,0.7457339891538685,0.7381632368307314,y
109.0,0.7462401069819351,0.7386892518107514,y
111.0,0.7450099297782666,0.7375136670510032,y
113.0,0.7458137321151338,0.738151458656961,y
115.0,0.7459119791567561,0.7384032195728287,y
117.0,0.7460516273879348,0.738258035714233,y
119.0,0.7465108091695217,0.7386938076698586,y
121.0,0.7461990613834693,0.7384233562303152,y
123.0,0.7452003442397825,0.7373853553529516,y
125.0,0.74599742355468,0.7383871575259481,y
127.0,0.745901065425569,0.7384934346961803,y
129.0,0.746230787316452,0.7388945892781458,y
131.0,0.745420895470583,0.738236491800824,y
133.0,0.746116167765642,0.7384506386923543,y
135.0,0.7456998353885086,0.738011900085058,y
137.0,0.7463751254153057,0.7389380607887913,y
139.0,0.7455397880863907,0.7378670213115816,y
141.0,0.7463301973438788,0.7385263778105845,y
143.0,0.7470383886433506,0.7389390618639732,y
145.0,0.7455430167327212,0.7379422148281497,y
147.0,0.7452335663981786,0.7372447254990131,y
149.0,0.7464614779113804,0.7389497533394218,y
151.0,0.7468299770417397,0.7391772740465384,y
153.0,0.7466622556806357,0.7388111131042606,y
155.0,0.7450041059392499,0.7368737145331586,y
157.0,0.7457320911023946,0.7382263212759648,y
159.0,0.7454814874480337,0.7378681474216482,y
161.0,0.7456502284430134,0.738402552308009,y
163.0,0.7464453207532437,0.7392676573441518,y
165.0,0.7456905447728742,0.7380505901024831,y
167.0,0.7461190760070849,0.7389728889984286,y
169.0,0.7475255297169645,0.7402599507967839,y
171.0,0.7459152492952881,0.7385683426180859,y
173.0,0.7453867830995926,0.7376569479348456,y
175.0,0.7462745276818102,0.7389388708087957,y
177.0,0.7459563822962065,0.7389202250167014,y
179.0,0.7471226692062052,0.7398178322764488,y
181.0,0.7453536550950955,0.7376404295808793,y
183.0,0.7462139622615749,0.7392407763237034,y
185.0,0.7465752831526297,0.7388132890577972,y
187.0,0.7464725408498435,0.7388689448948562,y
189.0,0.7462589281689936,0.7386636318443864,y
191.0,0.7476996434977294,0.7401287280805608,y
193.0,0.7466439316423165,0.7394148124737091,y
