epoch,train loss,val loss,swa
0.0,0.7797423464881255,0.7683450864010244,n
1.0,0.8746900805756823,0.8629416490841388,y
3.0,0.9586619616313511,0.9462366801421224,y
5.0,0.9464200096799745,0.935812153257181,y
7.0,0.9444831923705095,0.9348053183908804,y
9.0,0.9418260122989581,0.931422782309713,y
11.0,0.940734751134971,0.9303558789116873,y
13.0,0.9394670225311844,0.9290782101211844,y
15.0,0.9370915084792245,0.9265946583251441,y
17.0,0.9365018838975867,0.925944291226481,y
19.0,0.9340158612368612,0.9235326171862152,y
21.0,0.9329146329552038,0.9223411108490688,y
23.0,0.9331430651131302,0.9226151357926107,y
25.0,0.9343630351898684,0.9239128726061574,y
27.0,0.9339542325389363,0.923575711802885,y
29.0,0.9353252754392292,0.9248236364533677,y
31.0,0.9338338290585996,0.9233032152272346,y
33.0,0.9320215470593901,0.921368978302882,y
35.0,0.9315255834254368,0.9209345135813669,y
37.0,0.9303430644065849,0.9199159422891545,y
39.0,0.9235244019894122,0.9128436469494144,y
41.0,0.9185913133981984,0.9077882288862312,y
43.0,0.9175343408482994,0.9064784194466334,y
45.0,0.9178471342619504,0.9067969403616365,y
47.0,0.9160286161957223,0.9049014444165429,y
49.0,0.9159209985932962,0.9046005851999247,y
51.0,0.9178163601459671,0.9066025681646754,y
53.0,0.9174322864900049,0.906134459456382,y
55.0,0.9192318412278798,0.9080800902904735,y
57.0,0.9181563964484859,0.9067125672266162,y
59.0,0.9178939535699377,0.9065452800352372,y
61.0,0.917094039782657,0.9057070331919201,y
63.0,0.9177258258457859,0.9064306760887401,y
65.0,0.9190584178155415,0.9078096634744165,y
67.0,0.9175081056689934,0.9061376480896646,y
69.0,0.9167778234912676,0.9055505329628257,y
71.0,0.9168139424231176,0.905613410520167,y
73.0,0.9177717915611061,0.906463935190455,y
75.0,0.917590634152133,0.9063575176845978,y
77.0,0.9190841372884431,0.907900009284913,y
79.0,0.9163966387323077,0.9050083087420229,y
81.0,0.9187875185584541,0.9075882837391974,y
83.0,0.9168861370823477,0.9057391467054624,y
85.0,0.9164580224817617,0.9051596782463376,y
87.0,0.9169384726296513,0.9057357878386945,y
89.0,0.9177127665927819,0.9065867504019443,y
91.0,0.9168451282396773,0.9055387355754915,y
93.0,0.9156114094001826,0.9042786899228176,y
95.0,0.9165984615642541,0.9054040534628681,y
97.0,0.917458282746031,0.9062793571033385,y
99.0,0.9165647637591721,0.9052850559616266,y
101.0,0.9140101046183956,0.9026450209757474,y
103.0,0.9156513956826,0.9043588214434736,y
105.0,0.9148809308064315,0.903610653106746,y
107.0,0.9180376844859054,0.906825628311094,y
109.0,0.9153238030052869,0.9040322279542234,y
111.0,0.9154276412769661,0.9041149137163713,y
113.0,0.9152895336104134,0.9039822523789904,y
115.0,0.9155088257491459,0.90428252072363,y
117.0,0.915128817310401,0.9038639992527412,y
119.0,0.9135446851826731,0.9022810162803132,y
121.0,0.9169888115472701,0.9058981782792566,y
123.0,0.9159329725460138,0.9047761100339242,y
125.0,0.9153896167551313,0.9041172617838061,y
127.0,0.9154401454131966,0.9041392529315316,y
129.0,0.9156855379365766,0.9044100745698785,y
131.0,0.9167313800230433,0.9054466308010494,y
133.0,0.9149555392612602,0.9037870829301379,y
135.0,0.9132232999901833,0.9019001514613599,y
137.0,0.9170052012012158,0.9058381789712618,y
139.0,0.9159457255809097,0.904762492618294,y
141.0,0.9157204501943607,0.9044665230691779,y
143.0,0.9165663924682138,0.9053541669764613,y
