epoch,train loss,val loss,swa
0.0,0.7492389758358672,0.7214307815228946,n
1.0,0.7081862874381396,0.6812589061915078,y
3.0,0.6492701592562286,0.625570403725354,y
5.0,0.6134538753118758,0.5823911104392284,y
7.0,0.5595881324982103,0.5377134654184792,y
9.0,0.5154495622858712,0.5067380951840501,y
11.0,0.48745193506326034,0.4758625760785767,y
13.0,0.4586220289404883,0.45090867824700176,y
15.0,0.514944299784594,0.49547625714678717,y
17.0,0.4346359209858664,0.43734089376217444,y
19.0,0.4198898560520778,0.4184390610734106,y
21.0,0.4060272219923196,0.4101559260373923,y
23.0,0.44579586071075,0.4384161598669986,y
25.0,0.4034513613617193,0.40319902573144006,y
27.0,0.3794516411291027,0.387732739270366,y
29.0,0.3429495378286892,0.36545289192735303,y
31.0,0.315290714940158,0.34977869630012215,y
33.0,0.3044648428262949,0.34290305835798196,y
35.0,0.2783880412719624,0.3223282284009616,y
37.0,0.3087056010072746,0.34469359247716813,y
39.0,0.3048450253806378,0.34277381112143024,y
41.0,0.321945002030315,0.35320347291270987,y
43.0,0.30367551069306553,0.3425961516053656,y
45.0,0.2977338035597663,0.333194814689762,y
47.0,0.27296501223937775,0.3233566495250184,y
49.0,0.25049139072353727,0.31625435980763167,y
51.0,0.272167224596581,0.3244547822055811,y
53.0,0.25269988240884583,0.31611407339373754,y
55.0,0.2398667863900065,0.3017809372893154,y
57.0,0.2748681712515654,0.31818295112348294,y
59.0,0.27373071394095905,0.3163300026003154,y
61.0,0.25138557541375034,0.3086999402873499,y
63.0,0.24611827636870695,0.30034594820906063,y
65.0,0.24307494237825641,0.3117782474179172,y
67.0,0.2136310013595006,0.29169256091645024,y
69.0,0.21937199831898307,0.2954983918037289,y
71.0,0.21569932954505142,0.29146785979926493,y
73.0,0.19855282492783016,0.2856765262600995,y
75.0,0.1963750329165975,0.28339160137382224,y
77.0,0.22032516084196635,0.2942688910483892,y
79.0,0.19488988692672365,0.28585157718849163,y
81.0,0.19606736063726418,0.27502331730130614,y
83.0,0.19586689033306617,0.2845868080497116,y
85.0,0.17794500002419736,0.2696611055278413,y
87.0,0.17068358600195382,0.27965322260762443,y
89.0,0.16072886155023144,0.2622733222256245,y
91.0,0.15366526175018846,0.2625541533519215,y
93.0,0.156653040774607,0.26226062981013515,y
95.0,0.14448831724534153,0.2511130415061313,y
97.0,0.15845331219653844,0.26593334318882544,y
99.0,0.1416608297218238,0.2573805437540436,y
101.0,0.1413299636427888,0.25569320954792435,y
103.0,0.15710010764824464,0.2561733789900142,y
105.0,0.19135834424712914,0.2758144280088351,y
107.0,0.18788340956380126,0.26301637040919756,y
109.0,0.16151460277910223,0.25508366564710466,y
111.0,0.17748337516121948,0.2574184721763357,y
113.0,0.15510448631734858,0.24269730126508657,y
115.0,0.13602630500358096,0.24136209012003346,y
117.0,0.1380305282999737,0.2469086045569172,y
119.0,0.12504822986497188,0.23646618784024562,y
121.0,0.15798682785640597,0.25461628650894985,y
123.0,0.14130259467123185,0.23624384517740435,y
125.0,0.12391566906844419,0.23356849959987047,y
127.0,0.11546772283030156,0.23229409615749363,y
129.0,0.1101389268452466,0.23092043823591848,y
131.0,0.12466835592121579,0.23216574430266548,y
133.0,0.15044061042552803,0.2539375991583948,y
135.0,0.12180620026809304,0.23665142436248232,y
137.0,0.11889433253402219,0.23469744146795674,y
139.0,0.11727442674314802,0.22998113173159695,y
141.0,0.10333786661953623,0.22076202246928647,y
143.0,0.1074738395847486,0.2259001874528919,y
145.0,0.11454402600788313,0.23168235775610468,y
147.0,0.10347873311356716,0.2219409451749668,y
149.0,0.0946499494933629,0.22386689476797697,y
151.0,0.1040057668251749,0.22520003332785746,y
153.0,0.11191823980870731,0.23228673695194177,y
155.0,0.11036694984188242,0.23299727970499945,y
157.0,0.10335011420109215,0.22696645569302282,y
159.0,0.10095619003923847,0.2191049338716709,y
161.0,0.10735741343930888,0.2224073224677558,y
163.0,0.10383392283629864,0.22392362311376995,y
165.0,0.09303441430554787,0.22292992249775515,y
167.0,0.09142913877041245,0.22335811851710174,y
169.0,0.09061208445926024,0.2236892841727057,y
171.0,0.08552088186511578,0.21994658603783954,y
173.0,0.08825479456603322,0.21900678273442686,y
175.0,0.10990265775604216,0.23103311350686276,y
177.0,0.10609023852106526,0.23016100908401158,y
179.0,0.08648408070938104,0.2214633457145929,y
181.0,0.1084085490137959,0.2321152206504448,y
183.0,0.09059536569669169,0.22128941833024035,y
185.0,0.09386240315423722,0.2278093046379867,y
187.0,0.08324340053191294,0.21909790792730902,y
189.0,0.07012187629692676,0.2140962767543611,y
191.0,0.07063995541134031,0.2145606629146298,y
193.0,0.09810747586622577,0.2301969681163582,y
195.0,0.08122733757162379,0.22042959133959697,y
197.0,0.07325306496148606,0.2115147703491245,y
199.0,0.07270138370261081,0.21518515633512875,y
201.0,0.08712067586417437,0.2140755334007993,y
203.0,0.07939865911044457,0.2222629597369558,y
205.0,0.07523212387371837,0.21651468526443127,y
207.0,0.06918505219178082,0.21323833302682582,y
209.0,0.07796495462138078,0.21899443257705503,y
211.0,0.09676199622512908,0.22678740399614353,y
213.0,0.06454995637305709,0.2166747122083398,y
215.0,0.07370805489064204,0.21724442221259452,y
217.0,0.07941103904783625,0.22110972888240554,y
219.0,0.06089835563591939,0.21735576162723907,y
221.0,0.06833238654732916,0.22317094497862947,y
223.0,0.07415587559435598,0.22136462795835152,y
225.0,0.07126757259559215,0.21996782031554565,y
227.0,0.07254328763739684,0.22513353301844788,y
229.0,0.0601199754202206,0.21450552622254634,y
231.0,0.06742081941967143,0.21134537957175253,y
233.0,0.06272742026104915,0.2117316063710213,y
235.0,0.0753660885682468,0.2172089065600819,y
237.0,0.07364021000044071,0.2115655287649225,y
239.0,0.06794046132658019,0.2152130587126052,y
241.0,0.08451328559201032,0.21761087512995744,y
243.0,0.07176509581710183,0.2202204287889759,y
245.0,0.056567364166530625,0.21621287367804526,y
247.0,0.07411263637748218,0.2273293453585005,y
249.0,0.0731121324953807,0.2187633355171566,y
251.0,0.055230650186503694,0.21377689679264553,y
253.0,0.06545069357577689,0.21587207849846227,y
255.0,0.07248794168099139,0.2175720037992036,y
257.0,0.055343847707263194,0.2092018705886443,y
259.0,0.05307934194661993,0.21018582015772755,y
261.0,0.057938240164377194,0.21774103488691104,y
263.0,0.06227911133907322,0.21812160146487114,y
265.0,0.07492267849329627,0.22524139371483862,y
267.0,0.06353283344112236,0.21665561473020498,y
269.0,0.07127142149502806,0.21327362825461435,y
271.0,0.057572656111173834,0.2106443116142643,y
273.0,0.05309580386963501,0.20901336152774264,y
275.0,0.056801027173874086,0.21511070319867265,y
277.0,0.061974732510007145,0.22150176876874747,y
279.0,0.05879043079751879,0.21044488805024036,y
281.0,0.056764950244659,0.21765862201170633,y
283.0,0.05648890226239654,0.21400454322625911,y
285.0,0.05021288601147952,0.21468700516277794,y
287.0,0.05032439250753414,0.21372091481696415,y
289.0,0.058917265456968466,0.21210666771380687,y
